5
Fold Check-Call 50%-Pot 100%-Pot All-In 
0.00807367 0.668497 0.227735 0.0956457 4.84837e-05 
0.00982653 0.000321981 0.152293 0.837558 3.22722e-07 
0.979715 0.0143888 0.0058871 8.78675e-06 0 
0.0072699 0.157826 0.393923 0.44098 1.45728e-06 
0.0159212 0.139344 0.705692 0.13904 3.65077e-06 
0.0252388 0.0504189 0.690566 0.233775 1.82218e-06 
0.0025115 0.300218 0.109082 0.588188 0 
0.00951964 0.232573 0.178106 0.579777 2.40289e-05 
0.94306 0.050534 0.00310768 0.00329435 3.55515e-06 
0.0337738 0.180024 0.225492 0.560688 2.1134e-05 
0.972271 4.33458e-05 0.00302934 0.0246547 1.36653e-06 
0.0311758 0.563431 0.00858921 0.396766 3.81718e-05 
0.996348 0.000282424 0.00336686 1.86322e-06 2.15206e-07 
0.0184644 0.134468 0.558644 0.288351 7.35143e-05 
0.999997 3.3588e-07 1.07522e-07 2.61159e-06 1.07522e-07 
0.00498976 0.300726 0.619011 0.075264 9.36648e-06 
0.353416 0.617654 0.0101828 0.0187386 8.37526e-06 
0.0088677 0.816702 0.14217 0.0322482 1.24801e-05 
0.205936 0.630517 0.0367247 0.126822 8.75023e-07 
0.00806486 0.264942 0.409355 0.317629 9.25014e-06 
0.130153 0.766335 0.0893912 0.0141211 0 
0.00171958 0.494726 0.184461 0.319094 0 
0.145248 0.51763 0.129395 0.207719 9.22162e-06 
0.00132219 0.725577 0.15265 0.120331 0.000119562 
0.0674132 0.180315 0.28675 0.465408 0.000113481 
0.0032533 0.362487 0.598295 0.0359644 2.1487e-07 
0.00210607 0.115131 0.774796 0.107965 2.34312e-06 
0.00365217 0.201348 0.526759 0.268241 1.075e-07 
0.00336941 0.142368 0.00912721 0.845127 8.22457e-06 
0.00263795 0.384852 0.346721 0.265786 2.50905e-06 
0.0055002 0.226135 0.536901 0.231462 2.58002e-06 
0.00341134 0.613614 0.207341 0.175634 1.07584e-07 
0.00571929 0.311415 0.654301 0.0285422 2.2468e-05 
0.42056 0.574408 0.00499895 2.20836e-05 1.12896e-05 
0.0142427 0.233664 0.307975 0.444106 1.17433e-05 
0.98469 7.00957e-07 0.0152695 3.95816e-05 4.29722e-07 
0.0312548 0.273581 0.421767 0.273363 3.39706e-05 
0.757283 0.242716 1.3018e-07 1.23385e-06 0 
0.00792294 0.805478 0.186593 5.51872e-06 3.22714e-07 
0.228545 0.142144 0.227973 0.401337 2.28186e-07 
0.00997591 0.232025 0.741598 0.0162575 0.000144295 
0.217425 0.465179 0.0352534 0.282139 3.91964e-06 
0.00717656 0.00609545 0.530274 0.456376 7.75999e-05 
0.153722 0.29989 0.241134 0.305239 1.48451e-05 
0.010457 0.357107 0.307945 0.324476 1.46172e-05 
0.127923 0.227442 0.558119 0.0865146 1.46874e-06 
2.00125e-06 0.0249989 0.851923 0.123057 1.96706e-05 
0.0222111 0.305498 0.433159 0.239051 8.06745e-05 
0.000988887 0.451917 0.291265 0.253414 0.00241505 
0.0030653 0.623926 0.226416 0.146593 0 
0.00448235 0.421948 0.444769 0.128799 1.30678e-06 
0.00381125 0.0335957 0.33019 0.632327 7.61246e-05 
0.00328717 0.473687 0.361996 0.161029 4.7574e-07 
0.0297908 0.304975 0.0853062 0.579647 0.000281081 
0.00263358 0.482327 0.314354 0.200675 1.02654e-05 
0.0211231 0.342788 0.361419 0.274636 3.30042e-05 
0.198099 0.141357 0.285518 0.375025 1.98658e-07 
0.0134559 0.332083 0.349847 0.3046 1.35928e-05 
0.577127 0.34842 8.5241e-06 0.0744438 1.67377e-07 
0.00968844 0.0301675 0.772265 0.187761 0.00011784 
0.326361 0.558564 0.115054 1.72131e-05 3.59674e-06 
0.0109358 0.600714 0.365948 0.0223948 7.65361e-06 
0.0947425 0.0375857 0.823478 0.0441913 2.39362e-06 
0.0110269 0.587617 0.270941 0.130365 5.05715e-05 
0.193691 0.132141 0.00442371 0.669711 3.36764e-05 
0.00456786 0.237262 0.476622 0.281523 2.42757e-05 
0.137545 0.706464 0.0939331 0.0620295 2.83678e-05 
0.00298095 0.0505118 0.500751 0.445435 0.000321332 
0.0270495 0.468387 0.323099 0.181285 0.000179811 
2.48074e-05 0.00951547 0.242556 0.747699 0.000205278 
0.00190893 0.243136 0.258405 0.496546 3.52842e-06 
0.00345229 0.0478188 0.636838 0.311884 6.89101e-06 
0.0108606 0.146643 0.554614 0.287874 8.1093e-06 
0.00502991 0.0520263 0.412766 0.530175 1.97773e-06 
0.0167438 0.0320675 0.763942 0.187222 2.4793e-05 
0.0376789 0.261432 0.553049 0.14784 0 
0.029689 0.302541 0.630959 0.0368032 7.77373e-06 
0.228499 0.017915 0.464416 0.289169 3.82796e-07 
0.0206364 0.797587 0.16944 0.0123326 4.02856e-06 
