6
Fold Check-Call 50%-Pot 75%-Pot 100%-Pot All-In 
0.695429 0.00210618 0.982924 5.76881e-05 0.00818403 0.00667119 5.66881e-05 
0.000317916 0.00155582 0.378606 0.232416 0.0684365 0.318272 0.000714475 
0.0141994 0.0008425 0.706434 0.0420456 0.0286239 0.222053 1.44119e-06 
0.190787 0.00155582 0.378606 0.232416 0.0684365 0.318272 0.000714475 
0.152253 0.0008425 0.706434 0.0420456 0.0286239 0.222053 1.44119e-06 
0.0497397 0.00155582 0.378606 0.232416 0.0684365 0.318272 0.000714475 
0.373787 0.0008425 0.706434 0.0420456 0.0286239 0.222053 1.44119e-06 
0.230875 0.00155582 0.378606 0.232416 0.0684365 0.318272 0.000714475 
0.0498752 0.0008425 0.706434 0.0420456 0.0286239 0.222053 1.44119e-06 
0.177697 0.00298444 0.515461 0.41629 0.00988408 0.0552593 0.000120717 
4.27747e-05 0.00117531 0.640961 0.288602 0.0650525 0.00419977 8.69328e-06 
0.620406 0.00117615 0.627301 0.308082 0.0467446 0.0165709 0.000126263 
0.000278825 0.00107775 0.737048 0.145642 0.09005 0.0261642 1.83532e-05 
0.186681 0.000647296 0.678409 0.0105016 0.219586 0.0882897 0.00256699 
3.31496e-07 0.00121396 0.997186 0.000421979 4.85823e-05 0.00108124 4.8341e-05 
0.402561 0.000766501 0.277609 0.178533 0.264524 0.278541 2.69711e-05 
0.692116 0.000833637 0.272642 0.105832 0.345626 0.275052 1.4356e-05 
0.880076 0.000812312 0.991223 0.00473889 0.00165989 0.00142631 0.000139526 
0.698197 0.00170477 0.993379 0.00339808 0.000191494 0.00119311 0.000133155 
0.304494 0.000993956 0.743111 0.0209564 0.0852022 0.149732 4.87707e-06 
0.882647 0.000754098 0.978991 0.0166754 0.00334568 0.000232225 1.68777e-06 
0.525947 8.85209e-06 0.824242 0.0718368 0.0241759 0.0787344 0.0010021 
0.629913 8.85209e-06 0.824242 0.0718368 0.0241759 0.0787344 0.0010021 
0.818784 0.00133754 0.753579 0.0288433 0.0896431 0.126422 0.000175014 
0.207876 0.00185768 0.982749 0.00204833 0.00856871 0.0046768 9.92627e-05 
0.390671 0.00414371 0.989874 0.00215106 4.98289e-05 0.00370355 7.7982e-05 
0.126589 0.00155582 0.378606 0.232416 0.0684365 0.318272 0.000714475 
0.198789 0.0008425 0.706434 0.0420456 0.0286239 0.222053 1.44119e-06 
0.140606 0.00155582 0.378606 0.232416 0.0684365 0.318272 0.000714475 
0.43789 0.0008425 0.706434 0.0420456 0.0286239 0.222053 1.44119e-06 
0.228831 0.00155582 0.378606 0.232416 0.0684365 0.318272 0.000714475 
0.683811 0.0008425 0.706434 0.0420456 0.0286239 0.222053 1.44119e-06 
0.367985 0.00298444 0.515461 0.41629 0.00988408 0.0552593 0.000120717 
0.703745 0.00117406 0.654626 0.265736 0.0701313 0.00832224 1.03964e-05 
0.275313 0.00117615 0.627301 0.308082 0.0467446 0.0165709 0.000126263 
0.0108155 0.00107775 0.737048 0.145642 0.09005 0.0261642 1.83532e-05 
0.306601 0.000647296 0.678409 0.0105016 0.219586 0.0882897 0.00256699 
0.383756 0.00121396 0.997186 0.000421979 4.85823e-05 0.00108124 4.8341e-05 
0.939049 0.000766501 0.277609 0.178533 0.264524 0.278541 2.69711e-05 
0.199324 0.000920739 0.275073 0.117489 0.365388 0.2411 2.85273e-05 
0.229006 0.000812312 0.991223 0.00473889 0.00165989 0.00142631 0.000139526 
0.582221 0.00170477 0.993379 0.00339808 0.000191494 0.00119311 0.000133155 
0.00601146 0.000993956 0.743111 0.0209564 0.0852022 0.149732 4.87707e-06 
0.416322 0.000754098 0.978991 0.0166754 0.00334568 0.000232225 1.68777e-06 
0.416138 8.85209e-06 0.824242 0.0718368 0.0241759 0.0787344 0.0010021 
0.277916 8.85209e-06 0.824242 0.0718368 0.0241759 0.0787344 0.0010021 
0.0254373 0.00133754 0.753579 0.0288433 0.0896431 0.126422 0.000175014 
0.359589 0.00164943 0.985823 0.00181707 0.00594981 0.00467771 8.33187e-05 
0.463775 0.00263917 0.991157 0.00606141 6.61035e-05 5.05407e-05 2.56056e-05 
0.691861 0.00155582 0.378606 0.232416 0.0684365 0.318272 0.000714475 
0.481462 0.0008425 0.706434 0.0420456 0.0286239 0.222053 1.44119e-06 
0.0331501 0.00155582 0.378606 0.232416 0.0684365 0.318272 0.000714475 
0.476184 0.0008425 0.706434 0.0420456 0.0286239 0.222053 1.44119e-06 
0.334816 0.00298444 0.515461 0.41629 0.00988408 0.0552593 0.000120717 
0.570654 0.00117157 0.681956 0.220003 0.0802889 0.0165672 1.38028e-05 
0.406016 0.00117615 0.627301 0.308082 0.0467446 0.0165709 0.000126263 
0.161264 0.00107775 0.737048 0.145642 0.09005 0.0261642 1.83532e-05 
0.368103 0.000647296 0.678409 0.0105016 0.219586 0.0882897 0.00256699 
0.488319 0.00121396 0.997186 0.000421979 4.85823e-05 0.00108124 4.8341e-05 
0.0297799 0.000766501 0.277609 0.178533 0.264524 0.278541 2.69711e-05 
0.645171 0.000920739 0.275073 0.117489 0.365388 0.2411 2.85273e-05 
0.698571 0.000812312 0.991223 0.00473889 0.00165989 0.00142631 0.000139526 
0.0371041 0.00170477 0.993379 0.00339808 0.000191494 0.00119311 0.000133155 
0.697131 0.000993956 0.743111 0.0209564 0.0852022 0.149732 4.87707e-06 
0.179323 0.000754098 0.978991 0.0166754 0.00334568 0.000232225 1.68777e-06 
0.286596 8.85209e-06 0.824242 0.0718368 0.0241759 0.0787344 0.0010021 
0.756816 0.000347898 0.780346 0.097669 0.0416241 0.0792439 0.000768771 
0.0498582 0.00133754 0.753579 0.0288433 0.0896431 0.126422 0.000175014 
0.50483 0.00123292 0.99197 0.00135455 0.000711995 0.00467955 5.14307e-05 
0.00939195 0.0163374 0.703094 0.0352041 0.0615808 0.173272 0.0105118 
0.245412 0.00346302 0.556701 0.196 0.0569054 0.186191 0.000739152 
0.0661077 0.00506883 0.839378 0.000542642 0.0576772 0.097301 3.20742e-05 
0.145691 0.00464576 0.48303 0.444302 0.0639513 0.00299131 0.0010793 
0.0513598 0.00191964 0.581499 0.206458 0.193269 0.0168264 2.75335e-05 
0.0327032 0.00124355 0.600816 0.308074 0.0739651 0.01578 0.000121807 
0.333518 0.00114516 0.710563 0.145634 0.117271 0.0253733 1.38974e-05 
0.377526 0.000647296 0.678409 0.0105016 0.219586 0.0882897 0.00256699 
0.0421674 0.00121396 0.997186 0.000421979 4.85823e-05 0.00108124 4.8341e-05 
0.931315 0.000766501 0.277609 0.178533 0.264524 0.278541 2.69711e-05 
0.0164072 0.000920739 0.275073 0.117489 0.365388 0.2411 2.85273e-05 
0.571871 0.000812312 0.991223 0.00473889 0.00165989 0.00142631 0.000139526 
0.0486416 0.000992342 0.994035 0.00329876 0.000420073 0.0011196 0.000133942 
0.0349209 0.000993956 0.743111 0.0209564 0.0852022 0.149732 4.87707e-06 
0.239949 0.000754098 0.978991 0.0166754 0.00334568 0.000232225 1.68777e-06 
0.162726 8.85209e-06 0.824242 0.0718368 0.0241759 0.0787344 0.0010021 
0.0691987 7.16536e-06 0.809606 0.0588826 0.0398255 0.0908987 0.000780132 
0.0737848 0.00121397 0.748534 0.0131394 0.0828615 0.154199 5.14858e-05 
0.454559 0.00123292 0.99197 0.00135455 0.000711995 0.00467955 5.14307e-05 
0.276187 0.00215493 0.997594 5.98654e-05 0.000125806 3.46357e-05 3.08528e-05 
0.0332728 0.00976648 0.583985 0.349737 0.051658 0.00372883 0.00112459 
0.482775 0.00385482 0.567242 0.140395 0.279323 0.00913011 5.41101e-05 
0.0567066 0.00124355 0.600816 0.308074 0.0739651 0.01578 0.000121807 
0.308543 0.00114516 0.710563 0.145634 0.117271 0.0253733 1.38974e-05 
0.11793 0.000647296 0.678409 0.0105016 0.219586 0.0882897 0.00256699 
0.230407 0.00121396 0.997186 0.000421979 4.85823e-05 0.00108124 4.8341e-05 
0.000581858 0.000766501 0.277609 0.178533 0.264524 0.278541 2.69711e-05 
7.84188e-06 0.000920739 0.275073 0.117489 0.365388 0.2411 2.85273e-05 
0.0852669 0.000812312 0.991223 0.00473889 0.00165989 0.00142631 0.000139526 
0.484981 0.00149597 0.993505 0.00286899 0.000370646 0.00159333 0.000166551 
1 0.00107789 0.73628 0.0264816 0.0841478 0.152006 6.67326e-06 
0.00151594 0.000810055 0.974437 0.0203588 0.00264272 0.00174854 2.88522e-06 
0.655074 8.85209e-06 0.824242 0.0718368 0.0241759 0.0787344 0.0010021 
0.296487 7.16536e-06 0.809606 0.0588826 0.0398255 0.0908987 0.000780132 
0.00303892 0.0171761 0.554246 0.0864991 0.117882 0.197299 0.0268983 
0.552491 0.00120265 0.82305 0.0376501 0.000104635 0.137932 6.05929e-05 
0.276101 0.00222875 0.939341 0.0560444 0.00191493 0.000465572 5.35149e-06 
0.583318 0.0014036 0.813538 0.105106 0.0622393 0.00605567 0.0116577 
0.405084 0.00182762 0.979284 0.00943631 0.00659332 0.0028518 6.88639e-06 
