5
Fold Check-Call 50%-Pot 100%-Pot All-In 
0.119976 0.328232 0.602323 0.0155276 0.0539073 1.01854e-05 
0.282195 0.749523 0.249939 0.000530921 3.17511e-06 3.17511e-06 
1 0.997865 0.000175081 0.000951847 0.00100835 2.14261e-07 
0.060389 0.749523 0.249939 0.000530921 3.17511e-06 3.17511e-06 
0.970968 0.997865 0.000175081 0.000951847 0.00100835 2.14261e-07 
0.78101 0.749523 0.249939 0.000530921 3.17511e-06 3.17511e-06 
0.993629 0.997865 0.000175081 0.000951847 0.00100835 2.14261e-07 
0.32232 0.749523 0.249939 0.000530921 3.17511e-06 3.17511e-06 
0.900108 0.997865 0.000175081 0.000951847 0.00100835 2.14261e-07 
0.63177 0.643102 0.352255 0.00295372 0.00165623 3.2544e-05 
0.85381 0.99977 0.000191401 3.68845e-05 1.97029e-06 0 
0.941911 0.749974 0.245119 0.00321911 0.00165581 3.16474e-05 
0.93384 0.999527 6.82827e-05 0.000399874 3.6934e-06 1.39101e-06 
0.986297 0.021049 0.976587 2.34888e-05 0.0013673 0.000972909 
0.988114 0.0155517 0.984068 8.76745e-06 0.0003608 1.1028e-05 
0.0469343 0.703371 0.285826 0.00723722 0.00331035 0.000254958 
0.265939 0.937418 0.0522321 0.00726167 0.00293927 0.000149159 
0.317973 0.104588 0.881022 0.00711556 0.00715664 0.00011832 
0.7567 0.206156 0.777015 0.00953348 0.00719483 9.99272e-05 
0.931696 0.204102 0.754797 0.0344209 0.00664363 3.5931e-05 
0.880275 0.21072 0.746268 0.0344338 0.00856282 1.6016e-05 
0.514172 0.00289293 0.993207 0.00318837 0.000273078 0.000438435 
0.74466 0.00289293 0.993207 0.00318837 0.000273078 0.000438435 
0.822118 0.370223 0.589827 0.0211741 0.0142563 0.00451973 
0.676809 0.604754 0.358342 0.0127262 0.0241714 6.09162e-06 
0.554856 0.985523 0.0144754 4.10196e-07 4.10196e-07 4.10196e-07 
