5
Fold Check-Call 50%-Pot 100%-Pot All-In 
1 0.00507806 0.33244 0.541633 0.120638 0.000210804 
1 0.00656036 0.33617 0.0146058 0.642662 1.69178e-06 
1 0.00453529 0.995448 4.55879e-06 1.13279e-05 3.56903e-07 
1 0.0104174 0.0719394 0.813269 0.104294 8.06099e-05 
1 0.00465381 0.966548 0.0237476 0.00504321 7.03869e-06 
1 0.00128465 0.930391 3.76395e-05 0.0682678 1.87772e-05 
1 0.00460504 0.989106 0.0062853 3.50817e-06 0 
1 0.00641954 0.383969 0.366293 0.243142 0.000176247 
1 0.0030703 0.89601 0.0236011 0.0772839 3.41276e-05 
1 0.00589853 0.693254 4.49986e-06 0.300839 4.49986e-06 
1 0.00458726 0.869193 0.121983 0.00422762 9.11159e-06 
1 0.00622629 0.951451 0.000858079 0.0414629 2.20076e-06 
1 0.00245791 0.939709 0.0569031 0.000912257 1.78038e-05 
1 0.00122504 0.998682 6.28868e-07 4.37024e-05 4.89994e-05 
1 0.00687186 0.992281 6.45241e-06 0.000839945 2.81502e-07 
1 0.00237859 0.0963793 0.343555 0.557685 1.68934e-06 
1 0.00274869 0.962204 0.0337156 0.00132636 5.07204e-06 
1 0.00562526 0.323896 0.458342 0.2121 3.66558e-05 
1 0.00480526 0.76912 0.119798 0.10624 3.58997e-05 
1 0.00969959 0.965171 0.0118355 0.013293 1.40574e-06 
1 0.0052487 0.906696 0.0880399 1.51904e-05 2.81465e-07 
1 0.00485709 0.687277 0.00417024 0.303661 3.47691e-05 
1 0.000389994 0.995363 0.00411327 3.80897e-05 9.52758e-05 
1 0.000120204 0.999689 0.000163648 2.61826e-05 1.46561e-06 
1 0.00115171 0.820736 0.178112 4.6874e-07 4.6874e-07 
1 0.000252944 0.577448 0.392242 0.0292683 0.000788218 
1 0.00374497 0.2667 0.209159 0.520396 0 
1 0.00590155 0.829576 0.16452 1.47435e-06 1.63258e-06 
1 0.00403659 0.0895387 0.194665 0.711744 1.49151e-05 
1 0.00388441 0.67029 0.238702 0.0871224 9.38301e-07 
1 0.000262908 0.396736 0.298921 0.30408 2.81669e-07 
1 0.00547 0.58689 0.354019 0.0536089 1.1496e-05 
1 0.00545922 0.190095 0.406882 0.397552 1.04998e-05 
1 0.00422995 0.824131 0.171523 0.00011574 3.75218e-07 
1 0.000617687 0.879749 0.000408571 0.119202 2.31978e-05 
1 0.00504608 0.992335 0.000206473 0.00240976 2.25148e-06 
1 0.00230028 0.614831 0.0682941 0.314497 7.74485e-05 
1 0.005904 0.968293 0.0241529 0.00161223 3.73483e-05 
1 0.000357718 0.753945 0.244953 7.14982e-05 0.000672349 
1 0.00383924 0.992762 0.00297523 0.000411287 1.2141e-05 
1 0.00218266 0.996919 4.22502e-06 0.000889786 4.22502e-06 
1 0.00293564 0.948387 0.0469132 0.00176118 2.89775e-06 
1 0.00198618 0.904879 0.0923024 0.00074776 8.49814e-05 
1 0.00647524 0.73667 0.0492398 0.20761 5.0147e-06 
1 0.00447781 0.941288 0.00072364 0.0534627 4.79739e-05 
1 0.00479464 0.892429 0.0992136 0.00346807 9.4067e-05 
1 0.000289674 0.29831 0.00306032 0.697734 0.000605703 
1 1.67844e-05 0.972792 0.00844053 0.0187177 3.34786e-05 
1 0.000892483 0.0863881 0.693557 0.214651 0.00451199 
1 0.00558928 0.0429315 0.777522 0.173932 2.46645e-05 
1 0.00169738 0.972479 1.24127e-06 0.0257879 3.46801e-05 
1 0.00115059 0.039776 0.643284 0.315789 2.81756e-07 
1 0.00522944 0.28405 0.0743155 0.63639 1.55065e-05 
1 0.00247794 0.601851 0.225619 0.170052 8.44631e-07 
1 0.00408939 0.955124 0.00505641 0.0357283 2.01764e-06 
1 0.000161903 0.430353 0.284562 0.284906 1.6942e-05 
1 0.00488331 0.698642 0.157627 0.138847 8.53028e-07 
1 0.00270835 0.781206 0.160613 0.0554377 3.45244e-05 
1 0.00468373 0.989776 0.00428425 0.00125259 4.02732e-06 
1 0.0105961 0.522302 0.185188 0.281873 4.15595e-05 
1 0.00757737 0.941562 0.0162386 0.0346164 6.17526e-06 
1 0.00892112 0.455333 0.474603 0.061008 0.00013449 
1 0.00279288 0.99616 1.12604e-06 0.00104515 1.12604e-06 
1 0.00125865 0.998633 2.83279e-05 7.24259e-05 7.83911e-06 
1 0.00997994 0.85404 0.000156242 0.135815 8.8233e-06 
1 0.00131652 0.651558 0.191494 0.155602 3.06665e-05 
1 0.00454158 0.784674 0.20051 0.0102659 8.72133e-06 
1 0.0068709 0.647587 0.329904 0.0156044 3.37607e-05 
1 0.0042364 0.503061 0.241772 0.250927 2.8699e-06 
