8
Fold Check-Call 50%-Pot 75%-Pot 100%-Pot 200%-Pot 400%-Pot All-In 
0.0209034 0.0214259 0.930127 0.0324699 0.0145592 0.00141786 0 0 0 
0.0968107 0.00358173 0.975022 0.00544291 0.0110589 0.00264127 0.00208739 7.67789e-05 8.86994e-05 
0.000134799 0.00358173 0.975022 0.00544291 0.0110589 0.00264127 0.00208739 7.67789e-05 8.86994e-05 
8.04871e-05 0.418269 0.00798253 0.119099 0.378351 0.0180734 0.0486748 0.0047752 0.0047752 
3.88964e-06 0 0.0499719 0.0594499 0.0296942 0.180522 0.153824 0.136976 0.389562 
0.244324 0.00136396 0.979784 0.0187266 3.807e-05 3.86641e-05 3.46221e-06 4.51314e-05 0 
3.51372e-06 0.00136396 0.979784 0.0187266 3.807e-05 3.86641e-05 3.46221e-06 4.51314e-05 0 
0.0757199 0.00880258 4.34596e-05 0.957043 0.0261376 0.00179251 0.00599264 0.000101967 8.62179e-05 
7.97668e-07 0.00880258 4.34596e-05 0.957043 0.0261376 0.00179251 0.00599264 0.000101967 8.62179e-05 
0.0690252 0.00338774 6.88902e-05 0.911912 0.043588 0.0266227 0.0130866 0.00132593 7.92478e-06 
4.32373e-05 0.00338774 6.88902e-05 0.911912 0.043588 0.0266227 0.0130866 0.00132593 7.92478e-06 
0.146532 0.00360187 0.000263954 0.93883 0.0416179 0.00646374 0.00915615 5.66321e-05 1.01077e-05 
3.87713e-05 0.00360187 0.000263954 0.938829 0.0416179 0.00646374 0.00915615 5.66321e-05 1.01077e-05 
0.952605 7.05171e-05 0.109056 0.884373 0.00604926 0.000323655 0.000121586 5.3468e-06 0 
0.987361 7.05171e-05 0.109056 0.884373 0.00604926 0.000323655 0.000121586 5.3468e-06 0 
0.00224849 0.257425 0.000270368 0.160566 0.000883447 0.10124 0.00161675 0.4636 0.0143982 
4.98701e-06 0.0234793 0.0158003 0.506271 0.222047 0.106899 0.105722 0.019732 5.07043e-05 
0.340152 5.50192e-05 0.0843664 0.903666 0.0116101 0.000247154 2.93795e-05 2.54673e-05 3.73064e-07 
0.685767 5.50192e-05 0.0843664 0.903666 0.0116101 0.000247154 2.93795e-05 2.54673e-05 3.73064e-07 
0.796702 0.000233513 0.00412908 0.989836 0.00403513 0.0014057 0.000360664 1.51576e-07 1.313e-07 
0.651277 0.000233513 0.00412908 0.989836 0.00403513 0.0014057 0.000360664 1.51576e-07 1.313e-07 
0.57338 6.52244e-06 0.00601364 0.990649 0.00199861 0.0012373 6.51338e-05 2.96316e-05 0 
0.961737 6.52244e-06 0.00601364 0.990649 0.00199861 0.0012373 6.51338e-05 2.96316e-05 0 
0.48982 0.000323195 0.925736 0.0704642 0.00151754 0.00172208 0.000234216 1.98103e-06 9.22993e-07 
0.191138 0.000323195 0.925736 0.0704642 0.00151754 0.00172208 0.000234216 1.98103e-06 9.22993e-07 
0.00166417 0.0383497 0.153927 0.357549 0.0375245 0.196786 0.185459 0.0299645 0.00043911 
0.0767748 0.000540363 0.991178 0.00577689 0.00141214 0.00103503 9.15469e-06 2.28179e-05 2.54112e-05 
4.98483e-05 0.000540363 0.991178 0.00577689 0.00141214 0.00103503 9.15469e-06 2.28179e-05 2.54112e-05 
0.0386573 0.00222534 0.81093 0.0190655 0.0432114 0.00746746 0.0504774 0.0665233 9.98441e-05 
3.88754e-05 0.00222534 0.81093 0.0190655 0.0432114 0.00746746 0.0504774 0.0665233 9.98441e-05 
0.114208 0.000540363 0.991178 0.00577689 0.00141214 0.00103503 9.15469e-06 2.28179e-05 2.54112e-05 
3.52656e-05 0.000540363 0.991178 0.00577689 0.00141214 0.00103503 9.15469e-06 2.28179e-05 2.54112e-05 
0.0693681 0.000540363 0.991178 0.00577689 0.00141214 0.00103503 9.15469e-06 2.28179e-05 2.54112e-05 
0.000105082 0.000540363 0.991178 0.00577689 0.00141214 0.00103503 9.15469e-06 2.28179e-05 2.54112e-05 
0.32098 0.000540363 0.991178 0.00577689 0.00141214 0.00103503 9.15469e-06 2.28179e-05 2.54112e-05 
4.58119e-05 0.000540363 0.991178 0.00577689 0.00141214 0.00103503 9.15469e-06 2.28179e-05 2.54112e-05 
0.434252 0 0.233219 0.754954 0.00745137 0.00186814 0.00248477 1.3177e-05 9.77881e-06 
0.595083 0 0.233219 0.754953 0.00745137 0.00186814 0.00248477 1.3177e-05 9.77881e-06 
0.277268 0.00125238 0.993439 0.00427013 0.000414372 0.000605399 9.90755e-06 2.97962e-06 5.35604e-06 
