8
Fold Check-Call 50%-Pot 75%-Pot 100%-Pot 200%-Pot 400%-Pot All-In 
6.04476e-05 0.209343 0.287506 0.147394 0.107386 0.0729618 0.107008 0.0684013 0 
0.000171581 0.000344962 0.562284 0.00838795 0.0864632 0.243238 0.0150538 0.0840306 0.00019792 
0.00139317 0.000495946 0.78295 0.0100606 0.124049 0.0201281 0.0131745 0.0491391 2.29631e-06 
0.133869 0.01678 0.951139 0.0232604 0.00190611 0.00551737 0.000885533 0.000498456 1.30315e-05 
0.0141318 0.0319598 0.956315 5.12087e-05 0.000516271 0.0100528 0.00051164 0.000574864 1.86381e-05 
0.0349008 0.0166778 0.962053 0.0118856 0.00121749 0.00609489 0.00167961 0.000380345 1.14542e-05 
0.0346941 0.0275359 0.965354 5.64463e-05 0.000318328 0.00551963 0.000371021 0.000829519 1.56441e-05 
0.161998 0.0112669 0.983813 0.000517059 0.000291335 0.00123264 0.00230494 0.000567819 6.28417e-06 
0.00462931 0.0222273 0.9762 6.27314e-05 8.07976e-05 7.98475e-05 0.000202278 0.00113511 1.20514e-05 
0.154532 0.269677 0.317717 0.00825706 0.000250585 0.396337 0.00323296 0.00446824 6.042e-05 
5.52558e-05 0.105365 0.84838 0.00065973 0.00109733 0.0419019 0.00113715 0.00142741 3.08695e-05 
0.542069 0.00823866 0.734717 7.08151e-05 0.000620686 0.254991 0.00013734 0.00119342 3.1319e-05 
0.000120092 0.0162178 0.731204 1.35693e-05 0.0012263 0.251011 0.000214427 5.28887e-05 6.09334e-05 
0.0124516 0.000797776 0.0291675 0.0527583 0.141485 0.747829 0.0244224 0.00338573 0.000153449 
8.53299e-09 0.000978855 0.0378907 0.0766631 0.193455 0.687841 0.000423684 0.00258339 0.000164786 
0.0670546 0.000393059 0.18742 0.0198119 0.129648 0.146416 0.503922 0.0121975 0.000192698 
0.115887 0.000556266 0.332423 0.0387695 0.0295786 0.0225239 0.576131 1.67594e-05 0 
0.000953284 0.00346478 0.136783 0.0804874 0.323165 0.175764 0.212763 0.0533114 0.0142609 
0.00372225 0.000999117 0.0349875 0.0245653 0.388118 0.498282 0.0453015 0.00633189 0.0014153 
0.0358485 0.000232011 0.529952 0.00219831 0.114525 0.190091 0.00957301 0.1525 0.000929177 
0.127236 0.000421817 0.997003 0.00161811 0.000156237 0.00049353 0.000288976 1.79255e-05 2.19076e-07 
0.205288 0.000117176 0.472522 0.00772557 0.0259501 0.215817 0.26576 0.0119533 0.000154806 
0.245869 0.000175548 0.703398 0.00900915 0.035181 0.234016 0.016997 0.00119335 3.00634e-05 
0.109145 0.00135141 0.956316 0.000869156 0.00538579 0.0212332 0.0110699 0.00370891 6.5997e-05 
0.00389146 0.0022553 0.996723 8.01876e-05 0.000341999 0.000379437 5.11694e-05 4.41506e-05 0.000124357 
0.0279236 1.75179e-07 0.945592 0.00784867 0.00776794 0.0161292 0.0128421 0.00941373 0.000406324 
0.068321 0.000218809 0.625142 0.00609692 0.0110633 0.254487 0.0330925 0.0697008 0.000198846 
0.0195042 0.000390818 0.835331 0.00815138 0.0612162 0.0295027 0.0282067 0.0371976 3.06816e-06 
0.0758859 0.000218809 0.625142 0.00609692 0.0110633 0.254487 0.0330925 0.0697008 0.000198846 
0.0429636 0.000390818 0.835331 0.00815138 0.0612162 0.0295027 0.0282067 0.0371976 3.06816e-06 
0.123501 0.000218809 0.625142 0.00609692 0.0110633 0.254487 0.0330925 0.0697008 0.000198846 
0.0670922 0.000390818 0.835331 0.00815138 0.0612162 0.0295027 0.0282067 0.0371976 3.06816e-06 
0.354304 0.000218809 0.625142 0.00609692 0.0110633 0.254487 0.0330925 0.0697008 0.000198846 
1 0.000306716 0.877237 0.00662403 0.0109496 0.0370024 0.0402325 0.0276444 3.68563e-06 
0.241985 0.000218809 0.625142 0.00609692 0.0110633 0.254487 0.0330925 0.0697008 0.000198846 
0.0051719 0.000306716 0.877237 0.00662403 0.0109496 0.0370024 0.0402325 0.0276444 3.68563e-06 
0.0204503 8.11575e-05 0.184663 0.00366274 0.0256976 0.245892 0.516588 0.0229614 0.000454597 
0.0103456 4.33483e-07 0.0107706 0.0051584 0.00748823 0.17942 0.763285 0.0334732 0.000404292 
0.163828 0.000598666 0.0182511 0.0710152 0.13127 0.155419 0.282888 0.340259 0.000299723 
0.0313815 0.000646081 0.0215724 0.100755 0.193783 0.0295179 0.354906 0.298819 0 
0.000198667 5.15573e-05 0.12909 0.0951338 0.07138 0.194847 0.508836 0.000167278 0.000494429 
0.00384648 5.15573e-05 0.12909 0.0951338 0.07138 0.194847 0.508836 0.000167278 0.000494429 
0.000497805 0.00230477 0.03029 0.0374545 0.0103467 0.114403 0.498031 0.213702 0.0934669 
0.0636381 0.000573426 0.0262727 0.0011216 0.000307254 0.158358 0.664366 0.148958 4.29766e-05 
0.162428 9.76055e-06 0.00215924 0.00213702 0.0457742 0.71139 0.145366 0.09221 0.000954155 
0.108477 9.76055e-06 0.00215924 0.00213702 0.0457742 0.71139 0.145366 0.09221 0.000954155 
0.00442517 0.00267755 0.0472484 0.012167 0.0125581 0.0468454 0.673527 0.204485 0.000491693 
0.00605847 0.00380537 0.0663244 0.00969677 0.00446089 0.0587358 0.770371 0.0859945 0.000611363 
0.0346767 0.000835955 0.390549 8.06868e-06 1.44868e-05 0.000626098 0.602771 0.00518776 8.06868e-06 
0.485457 0.0112669 0.983813 0.000517059 0.000291335 0.00123264 0.00230494 0.000567819 6.28417e-06 
